id,created_at,fecha,proveedor,producto_id,producto_nombre,cantidad,precio_costo_unitario,total_ars,notas,costo_caja_usd,dolar_dia
1,2026-05-22 21:06:52.937038+00,2026-05-22,ELVIS,378,MTP-1302DS-1AV,1,34,49980,,0,1470
2,2026-05-22 21:07:25.833618+00,2026-05-22,ELVIS,379,EQ0530-51N,1,90,132300,,0,1470
3,2026-05-22 21:08:22.772322+00,2026-05-22,ELVIS,377,Ga-2100-1a1,1,90,132300,,0,1470
4,2026-05-22 21:09:08.871417+00,2026-05-22,ELVIS,358,Mtp-1302d-1a1,1,34,49980,,0,1470
5,2026-05-22 21:09:38.528832+00,2026-05-22,ELVIS,359,mtp-1302d-1a2,1,34,49980,,0,1470
6,2026-05-22 21:10:03.323749+00,2026-05-22,ELVIS,375,Caja Casio,3,3,13230,,0,1470
7,2026-05-22 21:10:23.722094+00,2026-05-22,ELVIS,376,Caja Citizen,1,5,7350,,0,1470
