id,fecha,producto_id,producto_nombre,marca,categoria,cantidad,precio_unitario,tipo,canal,cliente,costo_unitario,notas,created_at,descuento_pct,medio_pago,total_ars,total_usd,con_caja,precio_caja_usd,producto_caja_id
1,2026-05-16,321,EQ0530-51N,Citizen,Dama,1,169650.00,minorista,Otro,,135000.00,,2026-05-18 13:14:34.104877+00,13,Efectivo,169650,0,false,0,
2,2026-05-19,362,MTP-B190L-2BV,Casio,Cuero Caballero,1,120000.00,minorista,Otro,,88000.00,,2026-05-19 18:06:13.39553+00,0,Transferencia,120000,0,false,0,
4,2026-05-19,366,MTP-VD01D-1E,Casio,Metal Caballero,1,70000.00,minorista,Otro,,45000.00,,2026-05-19 18:41:44.011587+00,0,Transferencia,70000,0,false,0,
5,2026-05-21,358,Mtp-1302d-1a1,Casio,Metal Caballero,1,75000.00,minorista,WhatsApp,,50000.00,,2026-05-21 21:40:59.783275+00,0,Efectivo,75000,0,false,0,
6,2026-05-21,359,mtp-1302d-1a2,Casio,Metal Caballero,1,75000.00,minorista,Mostrador,,50000.00,,2026-05-21 21:41:16.758456+00,0,Efectivo,75000,0,false,0,
7,2026-05-21,361,MTP-1302D-7A2,Casio,Metal Caballero,1,75000.00,minorista,Mostrador,,50000.00,,2026-05-21 21:41:41.514577+00,0,Efectivo,75000,0,false,0,
